QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
3,9,5,22,7.0,20.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0
4,10,2,13,75.0,17.0,11.0,21,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,6,22,6.0,34.0,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,5,14,252.0,24.0,7.0,22,1.0,2.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0
3,9,7,22,-1.0,21.0,5.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,6,22,38.0,16.0,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,2.0,16.0
2,4,6,11,-4.0,30.0,4.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
1,2,5,22,94.0,17.0,6.0,7,1.0,63.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,15.0
2,5,7,0,-1.0,14.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,7,11,119.0,15.0,4.0,19,1.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0
4,12,6,22,-8.0,20.0,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,4,22,11.0,73.0,9.0,7,1.0,11.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,7,22,71.0,16.0,3.0,7,1.0,49.0,0.0,0.0,0.0,0.0,10.0,46.0,1.0,5.0
1,3,7,10,-6.0,28.0,15.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,22,14.0,31.0,5.0,7,1.0,14.0,0.0,12.0,0.0,0.0,13.0,47.0,3.0,5.0
3,7,5,11,-2.0,32.0,6.0,19,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,3,0,-12.0,20.0,19.0,9,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,8.0,39.0
3,7,2,22,-8.0,28.0,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,8,-1.0,24.0,5.0,17,1.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,5.0,15.0
3,9,3,11,-7.0,38.0,20.0,19,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,22,2.0,23.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
2,4,7,6,42.0,15.0,5.0,14,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,1,6,-4.0,20.0,5.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,6,11,13.0,21.0,5.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,8,5.0,22.0,8.0,17,1.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,4,22,-1.0,55.0,8.0,7,1.0,0.0,0.0,26.0,0.0,0.0,4.0,38.0,2.0,12.0
4,10,2,6,2.0,26.0,9.0,14,1.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,5,22,25.0,39.0,8.0,7,1.0,25.0,0.0,18.0,0.0,0.0,6.0,36.0,1.0,13.0
3,8,6,8,8.0,16.0,10.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
3,7,1,8,-4.0,27.0,16.0,16,1.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,1,22,-4.0,44.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
1,2,2,8,-5.0,46.0,10.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
2,5,5,11,123.0,17.0,11.0,19,1.0,21.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0
