"Facility","Date","Hour","ScheduledDepartures","DeparturesFor MetricComputation","DelayedGateDepartures","% DelayedGateDepartures","AverageMinutesOf DelayPer DelayedGateDeparture","ScheduledArrivals","ArrivalsFor MetricComputation","DelayedGateArrivals","% DelayedGateArrivals","AverageMinutesOf DelayPer DelayedGateArrival"
" PHL","01/23/2017","14","9","9","6","66.67","35.67","47","41","33","80.49","85.52"
" PHL","01/23/2017","15","41","36","14","38.89","55.21","19","19","13","68.42","82.77"
" PHL","01/23/2017","16","28","18","13","72.22","44.62","49","44","35","79.55","115.77"
" PHL","01/23/2017","17","35","30","21","70.00","45.52","34","32","26","81.25","97.46"
" PHL","01/23/2017","18","46","41","24","58.54","55.17","19","12","11","91.67","112.36"
" PHL","01/23/2017","19","5","4","1","25.00","18.00","54","37","27","72.97","93.22"
" PHL","01/23/2017","20","50","37","20","54.05","51.15","6","8","6","75.00","72.83"
" PHL","01/23/2017","21","6","6","2","33.33","26.00","10","12","6","50.00","97.50"
" PHL","01/23/2017","22","1","6","3","50.00","87.00","9","9","7","77.78","36.14"
" PHL","01/23/2017","23","0","1","0","0.00","0.00","10","15","7","46.67","76.43"
" PHL","01/24/2017","0","0","0","0","0.00","0.00","5","12","3","25.00","53.00"
" PHL","01/24/2017","1","0","0","0","0.00","0.00","0","3","1","33.33","50.00"
" PHL","01/24/2017","2","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/24/2017","3","0","10","6","60.00","34.00","0","0","0","0.00","0.00"
" PHL","01/24/2017","4","0","0","0","0.00","0.00","0","1","0","0.00","0.00"
" PHL","01/24/2017","5","7","6","0","0.00","0.00","1","4","1","25.00","16.00"
" PHL","01/24/2017","6","15","17","2","11.76","34.50","2","5","3","60.00","20.33"
" PHL","01/24/2017","7","14","17","3","17.65","30.67","43","42","15","35.71","49.20"
" PHL","01/24/2017","8","45","46","10","21.74","54.20","5","7","1","14.29","27.00"
" PHL","01/24/2017","9","12","15","3","20.00","28.33","41","40","14","35.00","43.29"
" PHL","01/24/2017","10","35","36","6","16.67","37.67","25","25","2","8.00","42.50"
" PHL","01/24/2017","11","42","40","10","25.00","50.80","11","10","1","10.00","49.00"
" PHL","01/24/2017","12","8","14","2","14.29","27.50","12","13","3","23.08","37.67"
